year,month,pressure,absmax,avgmax,avg,avgmin,absmin,avgdewpoint,relhumidity,totalrain,winddic,windspeed
2008,6,1007.1,31.3,27.8,25.8,24.2,22.4,25.1,96,1043,190,17.8
2008,7,1006.7,33.6,30.4,27.3,25.5,23.4,25.9,92,392.5,210,15.3
2009,1,1022,25.4,19.4,15.1,12,8.1,8.2,65,0,10,18.5
2009,2,1015.7,27,23.4,19.9,17.8,14.6,17.3,86,2,100,16.9
2009,3,1015.4,28.2,22,19.1,17.2,11.7,16.9,88,138,100,16.6
2009,4,1012.9,30.2,24.2,21.4,19.5,15,17.9,81,99,100,20.4
2009,5,1011.2,32.9,28.2,24.8,22.5,19.9,21.8,84,235.5,110,19.9
2009,6,1005.3,32.6,30.4,27.1,25.2,23.1,25.4,91,315,200,16.2
2009,7,1005.6,33.8,31.3,27.9,25.8,23.4,26.3,90,341,120,20
2010,1,1020.1,24.6,19.1,16.1,13.9,8.4,13.1,84,9.5,100,17
2010,2,1016.3,27.8,19.2,16.6,15,6.2,15.4,93,82.5,100,18.5
2010,3,1016.7,27.4,22.2,18.8,16.6,6.4,15.9,84,8.5,100,18.3
2010,4,1014.5,27.8,22.9,20.1,18.2,12.4,18.4,90,100,100,18.6
2010,5,1008.8,31.8,28.1,24.7,22.7,19.3,22.9,90,239,110,17.4
2010,6,1007.9,32.9,28.8,26,24.2,19.7,24.9,94,389.5,210,17.5
2010,7,1008.2,33.4,31.4,27.9,25.7,23.2,26.3,91,226,210,17.8
2011,1,1021.1,20.7,16.9,12.9,10.3,5.4,7,69,4.5,10,20.3
2011,2,1016.9,25.5,18.9,15.3,13.2,6.6,11.8,81,19.5,100,14.6
2011,3,1018.5,26.7,20.5,17.1,14.6,11.5,12,74,27,100,15.2
2011,4,1013.9,29,25.6,21.8,19.7,16.5,18.6,83,27,110,14.3
2011,5,1009.1,34.6,28.8,25.2,23.1,18.6,22.5,86,127,120,14.6
2011,6,1005.2,33.7,30.9,27.6,25.5,23.9,25.5,89,269,190,19.6
2011,7,1004.4,33.8,30.8,27.8,25.9,24.4,25.6,88,176.5,210,15.9
2012,1,1019.1,22.3,17.3,14.3,12.4,5.9,11.3,83,39.5,10,16
2012,2,1016.6,21.8,17.8,15.3,13.4,8.6,12.8,86,22.5,20,15.1
2012,3,1015.4,28.2,21.7,18.5,16.4,10.8,15.4,84,23.5,100,15.9
2012,4,1011.2,30.8,25.5,22.9,21.1,17.9,21.1,90,367.5,100,13.7
2012,5,1007.4,32.4,29,26.4,24.8,23.5,24.7,89,186.5,100,22.7
2012,6,1002.4,33.2,29.9,27.3,25.6,23.9,25,88,106.5,120,22.2
2012,7,1004.4,35.3,30.8,27.7,25.7,23.6,25.4,88,282.5,210,20
2013,1,1020.2,26.4,20,16.2,13.8,9.6,11.2,73,1,360,15.6
2013,2,1018.1,26.4,22.2,18.5,16.4,11.2,15.1,81,0.5,100,15
2013,3,1015.4,28,23.4,19.8,17.7,12.1,16.5,82,125.5,100,15
2013,4,1012,30.2,23.4,21,19.2,13.8,18.7,88,140.5,100,16.2
2013,5,1008.6,32.5,27.7,25,23.3,17.2,23.4,91,313,110,14.5
2013,6,1005.2,33.1,30.1,27.4,25.6,21.9,25.4,89,262.5,210,19.5
2013,7,1006.9,32.8,30,27.3,25.4,23.7,25.2,89,328,110,18.9
2014,1,1021,24.9,20.2,16,13.2,8.4,9.6,67,0,10,17.3
2014,2,1017.3,25.9,18.1,15,12.8,6.1,11.9,82,25.5,100,19.4
2014,3,1016.9,27.2,20.8,18.3,16.6,12.6,15.2,83,108,100,16.2
2014,4,1013.2,28.6,24.5,22.1,20.6,17.1,19.8,87,110.5,100,15.6
2014,5,1009.3,33,28.3,25.6,23.9,18.1,24.1,91,656.5,200,17.4
2014,6,1003.7,33.2,30.6,28,26,24.6,25.7,88,478.5,200,15.2
2014,7,1005.3,33.3,31.6,28.8,26.8,24.9,26.5,88,102.5,200,15.6
2015,1,1020.9,23.8,19.3,15.9,13.7,9.3,11.4,76,0,110,16.8
2015,2,1019.1,24.3,20.2,17.2,15.3,9.1,13.5,80,50,100,16.4
2015,3,1017.3,26.6,21.9,19.4,18,13.8,17.2,87,7.5,100,16.3
2015,4,1013.8,31.5,25.9,22.6,20.3,15.1,19.7,85,44,130,15.3
2015,5,1008.4,32.1,29.2,26.6,24.7,22.1,25.3,93,515,200,17.3
2015,6,1007.1,33.6,31.5,28.5,26.4,24.6,26.7,91,178,210,16.7
2015,7,1004,34.8,30.7,27.9,25.9,23.7,26.1,90,391,200,16.9
2016,1,1019.9,23.4,17.6,15.4,13.6,1.9,12.5,84,248,90,19
2016,2,1021.7,26.4,18.2,14.6,12.2,7.8,9.7,75,22,360,16.6
2016,3,1017.3,25.8,19.5,16.9,15,8.5,14.3,86,132.5,100,15.6
2016,4,1011.2,27.9,24.7,22.4,21,18.4,21.4,94,223,110,14.6
2016,5,1009.5,31.7,28.2,25.7,23.9,20.1,23.8,89,192,100,18
2016,6,1007.5,33.8,31,28.1,26.3,23.4,26.4,90,259.5,200,14.7
2016,7,1006.7,34.1,31.1,28.3,26.2,23.7,26.2,89,194,200,14.8
2017,1,1019.4,24.2,20.2,17.8,16.2,12.2,14.4,81,5,100,16.1
2017,2,1020.1,23.9,19.2,16.1,14,9.1,11.7,76,19,100,18.4
2017,3,1016,24.5,21.2,18.7,16.8,12.4,15.6,83,30,100,16.4
2017,4,1012.9,31.1,25.2,22.1,20.1,13.7,19.8,87,76,110,15.2
2017,5,1010.3,31.5,27.4,25,23.4,21.5,22.9,89,212.5,110,15.6
2017,6,1006.6,32.8,30.5,27.8,26.1,23.1,26.5,93,463,200,18
2017,7,1006.6,35.3,30,27.5,25.7,23.6,25.9,91,396,110,18.3
2018,1,1018.1,24.2,18.2,15.4,13.3,6.7,11.3,79,53.5,90,20.1
2018,2,1019.4,26.3,18.7,15.2,12.8,5.7,10.5,75,8,360,15.3
2018,3,1015.9,27,23.6,19.7,17.2,9.2,16.4,82,17,110,16
2018,4,1013.9,29.8,26.4,22.7,20.4,14.6,19.6,84,55.5,120,15.1
2018,5,1010.4,35.6,31.7,27.5,25,22.1,24.5,85,30,190,16.1
2018,6,1004.7,34.5,30.7,27.7,25.6,23.8,25.3,88,487,110,20.3
2018,7,1003.9,32.8,30.8,27.9,26,24.1,25.9,89,221.5,110,21.1
