year,month,pressure,absmax,avgmax,avg,avgmin,absmin,avgdewpoint,relhumidity,totalrain,winddic,windspeed
2013,4,1012.8,26.6,20.3,17.8,15.8,9.7,16.6,93,245,100,25.3
2013,5,1009.5,30,24.3,21.9,20.3,10.8,21.2,96,448,220,20.2
2013,6,1006.3,31.8,26.9,24.2,22.4,18.4,23.1,94,581,220,21.4
2013,7,1008,31,26.9,24,22.3,20.8,23,95,554.5,210,20.2
2013,8,1005.7,31.8,27.6,24.7,22.6,20.1,23.2,92,557.5,220,20.7
2013,9,1009.4,31.3,26.2,23.3,21.4,18.4,21.4,90,490.5,130,25.2
2013,10,1014.9,29.5,25.5,21.1,18.5,13.2,15.9,75,0.5,130,21.9
2013,11,1017.9,26.6,20.5,17.1,14.8,7.5,13,80,92,130,28.2
2013,12,1020,22,16,11.8,9.1,3.2,3.9,62,75,40,25
2014,1,1021.7,22.9,16,12.1,9.2,4.2,5.7,69,1,130,24.3
2014,2,1018.1,24.8,14.2,11.1,8.7,1.2,9.5,91,41,130,26.3
2014,3,1017.5,27.2,17.7,14.8,12.5,8,13.2,91,37.5,100,27.8
2014,4,1014,29.2,21.7,18.9,17.1,13.8,17.5,92,93,100,23.1
2014,5,1010.2,30.7,24.9,22.4,20.8,14.3,21.7,96,667,190,22.5
2014,6,1004.7,33.1,28.2,24.8,22.9,21.2,23.1,91,38,190,17.6
2014,7,1006.1,32.6,29.6,25.8,23.4,21.1,23.8,89,253.5,190,15.4
2014,8,1007.8,33.2,28.4,24.9,22.7,20,23.4,92,532,210,18.4
2014,9,1009.2,32.9,28.7,24.7,22.4,19.7,22.5,89,83,100,17.9
2014,10,1015.3,30.3,25,21.4,19.3,17.1,17.8,81,25,100,22.4
2014,11,1017.5,27.6,21,18,16.2,12.2,16.2,90,54.5,100,23.2
2014,12,1022.1,20.7,14.8,11.4,8.8,4.6,6.6,76,52,90,30.1
2015,1,1021.6,23.9,15.9,12,9.5,5,8.4,81,40,100,25.1
2015,2,1019.7,22.1,16.7,13.5,11.4,4.8,11.1,87,27.5,100,25.1
2015,3,1018.1,27.1,18.8,15.9,14.2,9.9,15.1,96,32.5,100,24.7
2015,4,1014.6,30,23.1,19.3,16.7,11.5,16.7,87,59,190,20.6
2015,5,1009.3,30.5,26.4,23.3,21.5,17.8,22.7,97,691,190,20.1
2015,6,1007.8,31.8,29.1,25.4,23.3,22,24,93,325.5,190,19.4
2015,7,1004.7,33.6,28.8,25,22.7,20.9,23.2,91,467.5,190,19.7
2015,8,1006.7,34.5,29.9,25.5,22.8,21.3,23.1,88,283,190,13.3
2015,9,1010.8,31.2,27.1,23.8,21.9,20.4,22.1,91,197.5,100,19.6
2015,10,1015,29.3,24.9,21.4,19.4,14,19,87,336.5,100,22.5
2015,11,1018.1,26.1,21.6,19.1,17.2,8.8,17.7,92,41.5,100,24.7
2015,12,1021.3,22.6,16.4,13.7,11.8,4.8,11.6,89,66,100,25
2016,1,1020.8,21.4,14.3,11.7,9.6,-2.4,11.1,93,278.5,100,28.3
2016,2,1022.5,25.6,15,11.2,8.3,2.7,6.6,79,30.5,10,26.7
2016,3,1018.1,25.6,17.1,13.9,11.6,3.9,12,90,131,110,27
2016,4,1012,28.4,23,20.2,18.4,14.5,19.7,97,234,190,22
2016,5,1010.3,29.4,25.4,22.5,20.7,16.5,21.6,95,344.5,190,22.3
2016,6,1008.3,32.1,28.4,25.1,23.3,20.7,23.8,94,356,190,18.2
2016,7,1007.6,34.2,29.5,25.7,23.1,20.6,23.7,90,233.5,190,17.7
2016,8,1003.4,33.2,28.3,24.7,22.5,20.3,23,91,525,100,18.4
2016,9,1007.8,31.2,26.9,23.8,21.8,18,21.8,90,273.5,100,20.4
2016,10,1011.8,29.2,25.3,22.3,20.4,16.9,20.8,92,703,100,26.3
2016,11,1017.6,28.3,20.4,17.4,15.1,7.6,15.9,92,136.5,100,25.4
2016,12,1020.3,25.9,18.9,15,12.6,4.9,10.7,77,8,100,24.5
2017,1,1020.3,24.2,17.1,14,11.9,7.5,12.2,90,24.5,100,23.3
2017,2,1020.8,24.7,16.4,12.3,9.6,3.8,9.1,83,29.5,100,26.2
2017,3,1016.7,26.2,17.8,15,12.6,8.3,13.3,91,53,100,28.5
2017,4,1013.6,30,22.2,18.9,16.7,9.8,17.5,92,69.5,100,19.3
2017,5,1011.3,30.1,25,21.7,19.7,17.9,20.2,92,199,100,19.4
2017,6,1007.2,30.9,27.2,24.6,23.1,20.4,23.9,96,677.5,190,20.1
2017,7,1007.5,34,27.5,24.7,22.9,21.5,23.6,94,647.5,110,20.7
2017,8,1006.9,34.3,28.9,25.4,23.2,21,23.6,91,,190,18.7
2017,9,1009.9,33.7,28.4,24.9,23,21.8,23.2,91,225.5,100,15
2017,10,1013.3,28.9,24.8,21.4,19.1,13,18,83,168,100,31.2
2017,11,1017.2,27,20.5,17.5,15.3,9.3,15.1,87,40,,
2017,12,1021,21.3,17,12.9,10.3,3.2,7.6,74,0.5,,
2018,1,1018.8,22.9,14.5,11.4,9.1,1.1,3,100,81.5,,
2018,2,1020.1,24.4,15.7,11.7,8.7,0.6,8.1,81,9.5,100,22.4
2018,3,1016.6,25.3,20,16.1,13.7,4.8,14,89,28.5,100,23.6
2018,4,1014.6,27.1,22.2,18.7,16.7,9.3,17.1,91,37.5,100,19.3
2018,5,1011.1,33.5,28,23.8,21.3,17.7,22.1,91,120.5,190,19.8
2018,6,1005.6,31.9,26.9,24,22.2,19.9,23,94,676,180,21.3
2018,7,1004.8,31.6,27.2,24.5,22.7,21.2,23.6,95,431,180,23.3
2018,8,1002.7,32.1,27.4,24.4,22.7,20.8,23.6,96,793.5,190,18.6
